"","name","x","y"
"1","A0685400115",34.264,-116.854
"2","72288023152",34.19966,-118.36543
"3","72289793206",35.23815,-120.64406
"4","72495723213",38.50369,-122.81101
"5","72289903179",33.97563,-117.62487
"6","72382523131",34.58333,-117.38333
"7","72290993115",32.56797,-117.11715
"8","74917100479",35.1349,-118.4393
"9","72040600135",38.15,-122.55
"10","74509023244",37.4058,-122.0481
"11","72590523275",39.12781,-123.20015
"12","72382023182",34.62944,-118.08309
"13","72281023199",32.83241,-115.66377
"14","72396593209",35.66936,-120.62918
"15","72381523161",34.85371,-116.78702
"16","99847599999",38.033,-122.125
"17","99999993243",37.2381,-120.8825
"18","72033353175",33.89765,-117.60243
"19","99799799999",36.8166666,-121.7333333
"20","99847899999",38.042,-121.887
"21","72391093111",34.12407,-119.12281
"22","72492723285",37.69309,-121.8149
"23","72595524259",41.77373,-122.46825
"24","72492023237",37.88997,-121.22637
"25","74718603164",32.6261,-116.4681
"26","72286903171",33.95282,-117.43523
"27","72593023233",36.66352,-121.60928
"28","72292800369",33.286,-117.456
"29","72592024257",40.51462,-122.29773
"30","74505823277",36.93936,-121.79001
"31","72483023232",38.50659,-121.49604
"32","72392623136",34.21142,-119.08762
"33","72287493134",34.0236,-118.2911
"34","74718503144",32.83464,-115.57656
"35","72584523225",39.27617,-120.70927
"36","72595894299",41.48362,-120.5615
"37","72290303131",32.81453,-117.13747
"38","72389853119",36.3114,-119.62319
"39","72297023129",33.81177,-118.14718
"40","72065200433",38.3557,-119.519
"41","99401899999",32.867,-117.258
"42","72389403181",37.63333,-118.85
"43","72584793230",38.89838,-119.99617
"44","72286023119",33.9,-117.25
"45","72290403178",32.57583,-116.99391
"46","72493723289",37.46667,-122.11667
"47","72380523179",34.76783,-114.61842
"48","72497393203",39.8,-121.85
"49","72061400205",38.909,-121.351
"50","72492623258",37.62544,-120.95492
"51","72064500227",38.717,-120.75
"52","74948500396",40.554,-124.133
"53","72057600174",38.533,-121.783
"54","72591024216",40.15186,-122.25478
"55","74612093104",35.686254,-117.690911
"56","72095299999",34.563889,-117.675
"57","72595724215",41.314893,-122.317127
"58","72288593197",34.02099,-118.44712
"59","72483993225",38.70069,-121.59479
"60","72295503174",33.80338,-118.33961
"61","72381603159",34.74121,-118.21255
"62","72594524283",40.97844,-124.10479
"63","72494693232",37.33333,-121.81667
"64","99402899999",34.008,-118.5
"65","99404499999",38.92,-123.7
"66","74948400395",37.082,-121.597
"67","99404199999",37.507,-122.2
"68","72495593227",38.2075,-122.28041
"69","72290023188",32.7336,-117.1831
"70","72483793216",39.13333,-121.43333
"71","72286893138",33.82216,-116.50433
"72","72292603154",33.30424,-117.35508
"73","72584693201",39.32,-120.13944
"74","72297793184",33.67975,-117.86746
"75","72483323206",38.56667,-121.3
"76","72389693144",36.31667,-119.4
"77","72494023234",37.61962,-122.36562
"78","99801199999",38.2166666,-122.0166666
"79","72392523190",34.4241,-119.84249
"80","74516023202",38.26667,-121.93333
"81","72376293244",34.60694,-120.07556
"82","72483623208",38.66667,-121.4
"83","72295603167",33.92353,-118.33291
"84","72481523257",37.28597,-120.51788
"85","72292703177",33.12993,-117.27651
"86","72383023187",34.74361,-118.72528
"87","72482893241",38.37753,-121.95854
"88","72297553141",33.79,-118.05194
"89","72286699999",34.095353,-117.234875
"90","99999953139",36.602,-117.1449
"91","72026723224",38.95472,-121.08194
"92","72480023157",37.37114,-118.35886
"93","74704003102",34.05314,-117.57689
"94","72392793110",34.20012,-119.20417
"95","74611003182",35.28333,-116.63333
"96","72389093193",36.77999,-119.72016
"97","A0705300346",40.983,-122.694
"98","99849699999",37.795,-122.288
"99","74718823158",33.61876,-114.71451
"100","69015093121",34.294,-116.14722
"101","72381023114",34.9,-117.86667
"102","74504893210",39.4943,-121.62226
"103","72594624286",41.78361,-124.23796
"104","74702023110",36.33333,-119.95
"105","74504693242",36.98505,-120.11068
"106","72290753143",32.82611,-116.9725
"107","72019300117",40.747,-122.922
"108","72585093228",37.65886,-122.12116
"109","74718703104",33.63166,-116.16412
"110","72483893205",39.10205,-121.56884
"111","72394023273",34.89403,-120.45216
"112","72384023155",35.43424,-119.05524
"113","72061500206",38.033,-120.417
"114","74505653120",33.03801,-116.915979
"115","72288623130",34.21214,-118.49146
"116","72393093214",34.71667,-120.56667
"117","74948600397",39.224,-121.003
"118","99999953151",33.4392,-117.1904
"119","72295303183",35.06667,-118.15
"120","99999953150",37.7592,-119.8208
"121","72481023203",37.38333,-120.56667
"122","99999904222",40.6507,-122.6068
"123","72288703180",34.1,-117.78333
"124","72491523259",36.59041,-121.84881
"125","72293193107",32.86667,-117.13333
"126","99999923122",34.09528,-117.23472
"127","72295023174",33.93816,-118.3866
"128","72293453121",33.21946,-117.34962
"129","74704303165",34.08333,-118.03333
"130","72594024213",40.8097,-124.1602
"131","99401799999",40.767,-124.217
"132","72495023254",37.99165,-122.05268
"133","72494523293",37.35938,-121.92444
"134","72493893231",37.51667,-122.25
"135","72297603166",33.87154,-117.98561
"136","99999953152",34.4141,-119.8796
