STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TEMP,TEMP_ATTRIBUTES
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-01,21.2,17
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-02,32,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-03,36.6,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-04,36.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-05,33.6,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-06,29.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-07,27.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-08,25.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-09,17.7,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-10,31.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-11,25,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-12,19.6,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-13,20.7,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-14,27,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-15,33.1,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-16,28.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-17,33.7,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-18,36.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-19,31.1,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-20,35.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-21,28.4,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-22,36.4,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-23,33.7,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-24,30,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-25,28.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-26,27.6,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-27,30.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-28,34.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-29,39.1,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-30,43.5,23
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-01-31,36.4,22
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-01,21.4,17
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-02,18.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-03,23.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-04,26.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-05,28.7,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-06,30.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-07,33,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-08,37.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-09,36.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-10,37.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-11,37.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-12,38.4,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-13,37.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-14,37.7,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-15,41,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-16,39.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-17,41.5,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-18,39.6,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-19,40.5,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-20,39.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-21,38.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-22,39.1,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-23,37,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-24,38.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-25,37.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-26,39.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-27,42.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-28,42.4,23
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-02-29,42,22
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-01,43.8,17
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-02,45.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-03,43.4,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-04,45.1,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-05,40.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-06,37.4,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-07,30.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-08,30.6,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-09,36.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-10,35.9,18
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-11,40,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-12,34.7,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-13,38.1,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-14,41.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-15,38.6,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-16,40.1,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-17,41.7,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-18,43.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-19,43.5,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-20,44,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-21,44.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-22,40.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-23,35.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-24,39,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-25,41.4,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-26,41.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-27,42,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-28,40.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-29,29.1,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-30,25.7,23
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-03-31,31.1,19
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-04-01,39,18
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-04-02,40.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2016-04-03,42.9,24
