STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TEMP,TEMP_ATTRIBUTES
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-02-28,31.1,22
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-01,28.7,17
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-02,32.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-03,33.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-04,38.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-05,35.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-06,29.4,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-07,37.5,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-08,41.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-09,42,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-10,42.7,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-11,43.7,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-12,43.1,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-13,44.5,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-14,45.6,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-15,45.6,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-16,46.5,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-17,46.7,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-18,47.5,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-19,50.5,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-20,50.6,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-21,47.1,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-22,41.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-23,34.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-24,37.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-25,42.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-26,38.1,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-27,39.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-28,37.3,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-29,43.4,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-30,44,23
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-03-31,33.1,22
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-01,42.3,17
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-02,41.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-03,45.6,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-04,40.6,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-05,42.7,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-06,45.4,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-07,49.5,22
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-08,42,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-09,34.5,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-10,36.9,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-11,42.4,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-12,44.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-13,44,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-14,39.5,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-15,43,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-16,47.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-17,50.4,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-18,49.2,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-19,41.8,13
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-20,56.1,10
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-21,46.8,24
A0685400115,"BIG BEAR CITY AIRPORT, CA US",34.264,-116.854,2057.1,2017-04-22,49.1,24
